Name,Address,Number,WorkingTime,Areas
Ултимејтфит Алебрас,,070 306206,,фитнес центри
Фамефит,,071 813613,,"фитнес центри, аеробик и пилатес, јога"
Фид,,02 3166011,Пон - Саб од 10:00 до 22:00,фитнес центри
Фитнес клуб Фит,,078 335577,,фитнес центри
Фитнес Инфинити,,078 415314,,фитнес центри
Фитнес Клуб Рики,,070 216911,Пон - Саб од 11:00 до 23:00,фитнес центри
Фитнес Револуција,,078 301791,Пон - Нед од 15:00 до 23:00,фитнес центри
Фитнес Станица -Олимписки,,078 294486,Пон - Саб од 15:00 до 22:00,"фитнес центри, аеробик и пилатес"
Фит лајф,,071 273982,"Пон - Сре , Пет од 17:00 до 21:00 • Вто , Чет од 18:00 до 21:00",аеробик и пилатес
Фит оне,,070 228823,,"аеробик и пилатес, фитнес центри"
Фит Лајф,,078 508540,,фитнес центри
Фит Фемили,,02 3123127,,фитнес центри
Флекс,,02 3111010,,"фитнес - опрема, спортска опрема - продавници, фитнес центри, здрава храна - продавници, спортска исхрана"
Форма витале фитнес,,075 235678,Пон - Пет од 08:00 до 20:00,фитнес центри
Шкупи џим,,071 639777,Пон - Саб од 10:00 до 23:00,фитнес центри
PowerHouse Pilates,,070 228840,,"фитнес центри, јога, аеробик и пилатес"
PowerHouse Pilates,,070 228840,Пон - Саб од 08:00 до 20:00,"фитнес центри, јога, аеробик и пилатес"
PowerHouse Pilates,,070 228840,,"фитнес центри, јога, аеробик и пилатес"
